customerNr,year_of_birth,education,marital_status,income,kids,teens,customer_since,last_purchase_in_days,web_purchases,catalog_purchases,store_purchases,web_visits,campaign3,campaign4,campaign5,campaign1,campaign2,country
1826,1970,Graduation,Divorced,"$84,835.00",0,0,6/16/14,0,4,4,6,1,0,0,0,0,0,SP
1,1961,Graduation,Single,"$57,091.00",0,0,6/15/14,0,7,3,7,5,0,0,0,0,1,CA
10476,1958,Graduation,Married,"$67,267.00",0,1,5/13/14,0,3,2,5,2,0,0,0,0,0,US
1386,1967,Graduation,Together,"$32,474.00",1,1,5/11/14,0,1,0,2,7,0,0,0,0,0,AUS
5371,1989,Graduation,Single,"$21,474.00",1,0,4/8/14,0,3,1,2,7,1,0,0,0,0,SP
7348,1958,PhD,Single,"$71,691.00",0,0,3/17/14,0,4,7,5,2,0,0,0,0,0,SP
4073,1954,2n Cycle,Married,"$63,564.00",0,0,1/29/14,0,10,10,7,6,1,0,0,0,0,GER
1991,1967,Graduation,Together,"$44,931.00",0,1,1/18/14,0,2,1,3,5,0,0,0,0,0,SP
4047,1954,PhD,Married,"$65,324.00",0,1,1/11/14,0,6,2,9,4,0,0,0,0,0,US
9477,1954,PhD,Married,"$65,324.00",0,1,1/11/14,0,6,2,9,4,0,0,0,0,0,IND
2079,1947,2n Cycle,Married,"$81,044.00",0,0,12/27/13,0,5,6,10,1,0,0,0,0,0,US
5642,1979,Master,Together,"$62,499.00",1,0,12/9/13,0,3,1,6,4,0,0,0,0,0,SP
10530,1959,PhD,Widow,"$67,786.00",0,0,12/7/13,0,3,6,6,1,0,0,0,0,0,IND
2964,1981,Graduation,Married,"$26,872.00",0,0,10/16/13,0,1,1,2,6,0,0,0,0,0,CA
10311,1969,Graduation,Married,"$4,428.00",0,1,10/5/13,0,25,0,0,1,0,0,0,0,0,SP
837,1977,Graduation,Married,"$54,809.00",1,1,9/11/13,0,2,1,5,4,0,0,0,0,0,SP
10521,1977,Graduation,Married,"$54,809.00",1,1,9/11/13,0,2,1,5,4,0,0,0,0,0,SP
10175,1958,PhD,Divorced,"$32,173.00",0,1,8/1/13,0,1,0,3,4,0,0,0,0,0,SP
1473,1960,2n Cycle,Single,"$47,823.00",0,1,7/23/13,0,2,0,3,8,0,0,0,0,0,CA
2795,1958,Master,Single,"$30,523.00",2,1,7/1/13,0,1,0,2,7,0,0,0,0,0,CA
2285,1954,Master,Together,"$36,634.00",0,1,5/28/13,0,5,2,5,7,0,0,0,0,0,SA
115,1966,Master,Single,"$43,456.00",0,1,3/26/13,0,5,1,8,5,0,0,0,0,0,IND
10470,1979,Master,Married,"$40,662.00",1,0,3/15/13,0,2,1,3,4,0,0,0,0,0,GER
4065,1976,PhD,Married,"$49,544.00",1,0,2/12/13,0,5,1,8,7,0,0,0,0,0,SP
10968,1969,Graduation,Single,"$57,731.00",0,1,11/23/12,0,8,8,6,6,0,0,0,0,0,IND
5985,1965,Master,Single,"$33,168.00",0,1,10/13/12,0,2,1,4,7,0,0,0,0,0,SP
5430,1956,Graduation,Together,"$54,450.00",1,1,9/14/12,0,9,2,8,8,0,0,0,0,0,SP
8432,1956,Graduation,Together,"$54,450.00",1,1,9/14/12,0,9,2,8,8,0,0,0,0,0,SP
453,1956,PhD,Widow,"$35,340.00",1,1,6/29/14,1,2,0,3,5,0,0,0,0,0,SP
9687,1975,Graduation,Single,"$73,170.00",0,0,5/31/14,1,5,4,6,2,0,0,0,0,0,CA
8890,1971,PhD,Divorced,"$65,808.00",1,1,5/30/14,1,5,1,5,6,0,0,0,0,0,SP
9264,1986,Graduation,Married,"$79,529.00",0,0,4/27/14,1,4,8,9,2,0,0,0,0,0,CA
5824,1972,PhD,Together,"$34,578.00",2,1,4/11/14,1,1,0,2,6,0,0,0,0,0,AUS
5794,1974,PhD,Married,"$46,374.00",0,1,3/17/14,1,7,1,7,8,0,1,0,1,0,IND
3068,1990,Graduation,Married,"$18,351.00",0,0,10/29/13,1,2,0,3,7,0,0,0,0,0,SP
7962,1987,PhD,Single,"$95,169.00",0,0,10/9/13,1,4,3,4,1,0,0,1,1,0,SP
2681,1984,2n Cycle,Married,"$65,370.00",0,0,8/1/13,1,2,3,13,1,0,0,0,0,0,SP
10141,1960,Master,Divorced,"$39,228.00",0,0,5/10/13,1,0,0,3,4,0,0,0,0,0,SA
3725,1961,PhD,Single,"$84,865.00",0,0,5/9/13,1,2,4,9,4,0,1,1,1,1,SP
3767,1968,Graduation,Married,"$61,314.00",0,1,4/25/13,1,5,5,12,3,0,0,0,0,0,SP
5585,1972,Graduation,Single,"$21,359.00",1,0,4/20/13,1,2,0,3,8,0,0,0,0,0,CA
7030,1955,PhD,Married,"$66,465.00",0,1,3/30/13,1,11,9,12,6,0,0,0,1,0,SP
1524,1983,2n Cycle,Single,"$81,698.00",0,0,3/1/13,1,8,2,5,5,0,0,0,1,0,SP
3657,1986,Graduation,Single,"$39,146.00",1,0,2/14/13,1,4,0,4,8,0,0,0,0,0,SP
5740,1970,2n Cycle,Divorced,"$25,959.00",1,1,2/14/13,1,1,2,2,6,0,0,0,0,0,SP
9595,1961,Graduation,Together,"$64,260.00",0,0,1/11/13,1,4,5,4,3,0,0,0,0,0,SP
3158,1973,Graduation,Married,"$32,300.00",1,0,1/3/13,1,1,0,3,8,0,0,0,0,0,SP
5114,1965,Master,Married,"$74,806.00",0,1,12/19/12,1,5,4,5,4,0,0,0,0,0,AUS
340,1970,Graduation,Divorced,"$72,967.00",0,1,12/15/12,1,7,2,8,5,1,0,0,0,0,GER
8805,1960,Graduation,Single,"$48,904.00",0,1,12/2/12,1,7,2,4,8,0,0,0,0,0,US
1241,1984,2n Cycle,Married,"$14,796.00",1,0,9/17/12,1,1,0,3,9,0,0,0,0,0,GER
1402,1954,Master,Married,"$66,991.00",0,0,9/11/12,1,4,8,6,3,0,0,0,0,0,GER
7264,1978,2n Cycle,Single,"$52,195.00",2,1,5/12/14,2,1,0,2,8,0,0,0,0,0,SA
1619,1956,Graduation,Married,"$90,369.00",0,0,4/28/14,2,4,6,6,1,0,0,0,0,0,SP
6398,1974,Basic,Married,"$18,393.00",1,0,3/29/14,2,3,0,3,8,0,0,0,0,0,SP
1857,1952,Graduation,Single,"$47,139.00",1,1,3/6/14,2,2,1,2,7,0,0,0,0,0,SP
4877,1973,Master,Married,"$38,576.00",0,1,3/4/14,2,1,0,3,7,0,0,0,0,0,IND
3066,1975,PhD,Together,"$61,905.00",0,1,2/4/14,2,4,2,4,5,0,0,0,0,0,SA
10286,1962,Graduation,Married,"$83,715.00",0,0,2/3/14,2,2,8,13,0,0,0,0,0,0,SA
1992,1964,Graduation,Married,"$60,597.00",0,1,1/1/14,2,2,2,8,7,0,0,0,1,0,SP
4246,1982,Master,Single,"$6,560.00",0,0,12/12/13,2,1,0,1,17,0,0,0,0,0,SP
10623,1961,Master,Together,"$48,330.00",0,1,11/15/13,2,1,0,3,5,0,0,0,0,0,SP
4867,1968,PhD,Single,"$38,236.00",1,1,9/20/13,2,3,0,4,7,0,0,0,0,0,SP
3112,1977,Master,Married,"$22,701.00",1,0,9/5/13,2,1,0,3,5,0,0,0,0,0,SP
4865,1974,Master,Divorced,"$53,367.00",1,1,8/31/13,2,5,1,8,7,0,0,0,0,0,AUS
6287,1986,Graduation,Together,"$34,728.00",1,0,7/30/13,2,1,1,2,6,0,0,0,0,0,SP
4405,1956,Master,Married,"$63,915.00",0,2,7/30/13,2,6,3,12,5,0,0,0,0,0,AUS
5332,1960,2n Cycle,Married,"$82,504.00",0,0,7/27/13,2,3,6,7,1,0,0,0,0,0,IND
1519,1972,PhD,Single,"$38,578.00",1,1,6/22/13,2,3,0,3,8,0,0,0,0,0,SP
9080,1972,PhD,Single,"$38,578.00",1,1,6/22/13,2,3,0,3,8,0,0,0,0,0,SP
1772,1975,PhD,Married,"$79,174.00",0,0,1/11/13,2,5,6,7,2,0,0,1,1,0,CA
5341,1962,2n Cycle,Divorced,"$81,975.00",0,1,1/5/13,2,6,3,4,7,0,0,1,0,0,SA
5510,1977,Master,Married,"$43,263.00",0,1,11/21/12,2,5,2,6,5,0,0,0,0,0,SP
3887,1970,Graduation,Single,"$27,242.00",1,0,11/11/12,2,2,0,3,9,0,0,0,0,0,IND
7022,1971,Graduation,Married,"$76,445.00",1,0,9/28/12,2,2,5,13,6,0,0,0,0,0,SA
9999,1965,Graduation,Together,"$75,276.00",0,0,9/27/12,2,9,4,9,5,0,0,0,0,0,SP
10352,1963,Graduation,Widow,"$34,213.00",1,1,9/7/12,2,3,1,2,9,0,0,0,0,0,SA
7919,1976,PhD,Together,"$72,335.00",0,0,8/13/12,2,10,4,8,8,0,0,0,0,0,SP
4114,1964,Master,Married,"$79,143.00",0,0,8/11/12,2,6,9,13,3,0,0,0,0,0,AUS
7990,1947,Graduation,Married,"$27,469.00",0,0,8/2/12,2,0,0,3,6,0,0,0,0,0,CA
9888,1969,Graduation,Together,"$68,695.00",0,0,6/25/14,3,4,4,7,2,0,0,0,0,0,SP
