"","City","Purchase.Power","Pollution","Quality.of.Life","Crime.Rating"
"1","Caracas",11.25,83.45,8.61,85.7
"2","Johannesburg",53.99,47.39,51.26,83.93
"3","Fortaleza",52.28,66.32,36.68,78.65
"4","Saint Louis",80.4,31.33,87.51,78.13
"5","Mexico City",24.28,18.95,27.91,77.86
"6","Detroit",73.81,83.45,50.99,76.69
"7","Porto Alegre",19.07,86.16,31.87,76.46
"8","Noida",57.88,89.1,42.7,75
"9","Karachi",14.63,69.63,18.5,74.36
"10","Rotterdam",50.9,20.36,67.77,74.27
"11","Nairobi",15.82,39.16,14.36,71.88
"12","Las Vegas",80.46,59.73,60.5,70.57
"13","Kuala Lumpur",37.09,69.65,42.4,68.91
"14","Philadelphia",68.77,38.64,65.53,68.58
"15","Cape Town",60.36,75.98,78.73,68.06
"16","Pretoria",46.74,70.13,61.44,68.06
"17","Rio De Janeiro",22.13,84.51,21.32,67.93
"18","Manila",14.8,65.22,13.14,66.36
"19","Sao Paulo",24.24,72.04,30.57,66.31
"20","Los Angeles",62.75,75.2,62.82,65.74
"21","Gurgaon",37.08,27.78,42.77,65.51
"22","Lima",23.22,58.49,22.67,65.31
"23","Miami",57.79,22.45,74.77,64.85
"24","Lodz",26.37,37.21,46.29,64.51
"25","Rome",32.72,19.84,26.8,62.34
"26","Santo Domingo",28.82,18.59,41.88,62.19
"27","Houston",71.96,65.21,74.08,61.72
"28","Tampa",75.72,49.89,80.75,60.73
"29","Lagos",14.91,26.63,19.48,60.44
"30","Glasgow",85,0,80,60
"31","Dallas",76.18,83.89,80.56,59.9
"32","Buenos Aires",29.29,47.26,39.78,59.46
"33","Dhaka",21.32,62.14,13.48,59.06
"34","Baltimore",78.78,77.98,82,58.85
"35","Athens",26.05,27.44,30.57,57.49
"36","Saint Petersburg",24.82,77.98,25.97,56.96
"37","Naples",35.38,12.01,42.92,56.67
"38","Milan",43.43,22.09,40.8,56.2
"39","Atlanta",80.83,63.09,80.51,56.04
"40","Orlando",71.07,70.75,82.33,55.07
"41","Chicago",66.77,22.98,80.71,54.52
"42","Geneva",61.22,29.43,82.76,54.36
"43","Kiev",18.88,67.36,24.05,54.19
"44","Tehran",18.09,87.62,14.33,54.16
"45","Brussels",54.41,6.79,65.42,53.79
"46","Paris",47.08,59.18,52.62,53.75
"47","Kharkiv",17.11,67.05,30.76,53.75
"48","Moscow",24.94,30.03,18.65,53.19
"49","Delhi",34.39,73.03,42.45,52.56
"50","Lahore",12.45,30.55,28.52,51.98
"51","Hanoi",12.22,24.02,5.29,51.81
"52","Cordoba",27.56,48.76,47.68,51.56
"53","Washington",56.61,30.55,76.92,51.43
"54","San Antonio",74.78,59.19,84.88,51.41
"55","Christchurch",47.1,22.2,76.6,51.3
"56","Bangalore",38.67,80.94,52.11,51.03
"57","Belo Horizonte",21.77,59.73,36.26,50.99
"58","Auckland",49.02,30.03,66.98,50.38
"59","Montevideo",21.56,31.72,44.63,50.16
"60","London",53.17,57.95,47.89,50.14
"61","Perth",62.11,23.53,74.62,50.01
"62","Muscat",77.16,64.65,58.99,50
"63","Gaborone",30.98,30.55,31.77,50
"64","Colombo",20.18,33.59,26.68,50
"65","Cairo",11.9,86.16,17.25,48.81
"66","Melbourne",55.48,30.28,68.99,48.75
"67","Quito",14.24,14.76,46.43,48.36
"68","Dublin",50.13,30.54,65.27,48.31
"69","Jakarta",17.38,57.91,15.66,48.27
"70","Sofia",23.03,26.63,37.72,48.26
"71","Tirana",17.8,80.84,36.81,47.99
"72","Beijing",22.97,57.18,25.69,47.61
"73","Birmingham",46.41,66.53,75.4,47.51
"74","New York",55.56,12.01,61.94,47.33
"75","Lyon",56.05,37.21,71.13,47.27
"76","Nice",49.52,59.19,68.34,47.27
"77","Toulouse",54.47,36.23,66.66,47.27
"78","Strasbourg",72.23,39.91,66.5,47.27
"79","Marseille",57.05,25.59,59.87,47.27
"80","Cebu",12.9,35.9,41.21,46.88
"81","Ulaanbaatar",15.35,55.87,24.5,46.87
"82","Amman",21.22,61.63,39.57,46.74
"83","Haifa",44.03,29.86,52.08,46.59
"84","Jerusalem",37.22,64.44,50.87,46.59
"85","Curitiba",34.97,33.59,58.67,46.27
"86","Medellin",19.2,37.27,39.7,46.02
"87","Bogota",14.52,14.54,29.33,46.02
"88","Brisbane",53.72,22.19,77.07,45.84
"89","Pattaya",19.51,29.86,46.01,45.52
"90","Antalya",22.91,30.55,40.51,44.53
"91","Nottingham",53.57,24.54,75.88,44.38
"92","Honolulu",58.54,30.28,79.58,44.14
