"profession";"duration";"wage1";"wage2";"wage3";"cola";"hours";"pension";"stby_pay";"shift_diff";"educ_allow";"holidays";"vacation";"lngtrm_disabil";"dntl_ins";"breavement";"Empl.hplan";"consent"
"1";"2";"2.47";;"2.46";"";"41";"none";"2";"4";"";"12";"below average";"";"";"";"half";"??"
"2";"1";"1.99";"3.04";;"tc";"36";"none";;"4";"no";"13";"below average";"";"";"";"half";"good"
"3";"1";"2.97";;"5.02";"tc";"40";"";;"25";"maybe";"10";"below average";"";"half";"";"";"??"
"4";"1";"-4.51";"3.98";;"";"39";"";;;"";"9";"average";"";"";"yes";"half";"good"
"5";"2";"-4.51";"3.96";;"tc";"38";"none";;;"";;"average";"";"half";"yes";"none";"bad"
"6";"2";"4.32";"4.77";"-5.01";"tc";"40";"";;"4";"yes";"11";"";"";"full";"yes";"none";"bad"
"7";"3";"4.47";"4.54";;"none";"39";"none";;"3";"yes";"14";"below average";"";"none";"";"half";"bad"
"8";"2";"4.51";;;"none";"61";"";;;"no";"11";"below average";"";"full";"no";"";"good"
"9";"2";"2.13";"1.98";;"";"40";"";;"3";"yes";"14";"below average";"";"none";"";"";"good"
"10";"2";"2";;;"none";"41";"";;;"no";"9";"below average";"yes";"";"yes";".5";"bad"
"11";"3";"2.79";"3.99";;"";"28";"empl_contr";"-12";;"yes";"10";"";"";"";"yes";"none";"good"
"12";"3";"4.52";"4.5";;"none";"39";"self payed";"-1";;"";"4";"generous";"";"";"";"half";"good"
"13";"2";"-4.5";"4.01";"4.59";"";"39";"";;;"";"11";"average";"yes";"full";"";"";"??"
"14";"1";"1.96";"4.01";;"tcf";"39";"none";;;"no";"14";"average";"";"";"";"";"bad"
"15";"1";"4.04";"4.01";;"";"41";"none";"13";;"maybe";"12";"below average";"no";"none";"yes";"full";"good"
"501";"3";"2.82";"5.03";;"";"41";"";;;"maybe";"10";"generous";"yes";"half";"yes";"";"bad"
"17";"3";"3.98";"3.97";;"tcf";"38";"empl_contr";;;"";"9";"generous";"";"full";"";"none";"bad"
"18";"3";"2.5";"3.03";;"";"35";"ret_allw";"-1";"3";"no";"9";"generous";"";"half";"";"";"good"
"19";"3";"5.67";"1.98";;"none";"9";"";;;"yes";"12";"generous";"";"";"";"";"good"
"20";"2";"2";"2.52";;"none";"11";"empl_contr";;;"";"9";"generous";"";"half";"yes";"full";"good"
"21";"1";"4.01";"3.97";"2.09";"";"39";"empl_contr";"13";"5";"";"10";"below average";"yes";"";"";"full";"??"
"22";"2";"-4.49";"4.03";"5";"none";"62";"";;;"";"11";"generous";"";"";"";"full";"bad"
"23";"2";"6.93";"4.4";;"";"40";"ret_allw";;;"yes";"12";"average";"";"full";"";"";"??"
"24";"1";"4.53";"2.52";;"";"36";"ret_allw";;;"";"9";"below average";"";"half";"yes";"full";"bad"
"25";"1";"4.51";;;"none";"41";"empl_contr";;"4";"";"15";"average";"";"";"maybe";"";"good"
"26";"2";"2.81";;"1.97";"tc";"41";"";;"6";"yes";"9";"below average";"yes";"";"yes";"";"bad"
"27";"2";"2";"3.01";;"none";"35";"";;;"";"11";"below average";"yes";"none";"";"full";"bad"
"28";"2";"3.02";;;"";"37";"none";"-1";;"no";"11";"generous";"";"half";"yes";"full";"good"
"29";"2";"4";"4.51";"2.01";"";"39";"empl_contr";;"5";"yes";"11";"generous";"";"";"";"full";"bad"
"30";"2";"2.49";"4.04";;"";"40";"empl_contr";"12";"5";"no";"10";"average";"";"";"maybe";"none";"good"
"31";"3";"2.07";"2.03";;"none";"36";"";;"3";"no";"12";"";"";"";"yes";"full";"good"
"32";"2";"2.81";"3.01";"4.99";"";"41";"";;;"no";"10";"average";"";"half";"";"";"good"
"33";"1";"3.47";"4.01";;"";"36";"";;;"";"9";"generous";"yes";"";"";"full";"good"
"34";"3";"4.52";"4.02";;"tc";"36";"empl_contr";"2";"3";"maybe";"4";"below average";"";"half";"";"full";"good"
"35";"2";"4.02";"4.47";;"";"63";"";"-1";;"";"13";"average";"";"half";"";"";"good"
"36";"2";"6.93";"4.51";;"";"37";"";;;"";"13";"";"yes";"half";"";"full";"bad"
"37";"1";"2.81";"3.99";"5.03";"tc";"40";"";"2";"4";"no";"3";"";"no";"none";"";"full";"good"
"38";"3";"2.98";"4.83";"2.07";"tcf";"41";"";;;"yes";"5";"generous";"";"half";"yes";"";"bad"
"39";"3";"-4.48";"3.98";;"";"61";"";;"4";"no";"12";"average";"yes";"";"";"full";"bad"
"40";"3";"-4.51";;;"tc";"35";"self payed";;;"no";"9";"below average";"yes";"full";"";"full";"good"
"41";"1";"-4.48";"4.38";;"tc";;"none";;;"";"10";"below average";"yes";"";"yes";"full";"good"
"42";"3";"2.01";;"1.98";"tcf";"36";"ret_allw";;;"no";"11";"average";"";"";"";"full";"??"
"43";"2";"3.71";"37.01";;"none";"34";"";;;"no";"10";"below average";"yes";"";"";"half";"good"
"44";"2";"3.46";"2.51";;"";"38";"";;"2";"no";"11";"generous";"yes";"full";"";".5";"bad"
"45";"3";;"4.81";;"";"40";"ret_allw";;"5";"";;"generous";"";"half";"";"none";"good"
"46";"2";"4.33";"4";;"";"40";"self payed";;;"";"12";"generous";"no";"half";"yes";"";"bad"
"47";"3";"1.99";;"-5.02";"none";"36";"none";;"3";"";"11";"below average";"no";"";"";"";"good"
"48";"3";"1.98";"2.04";;"none";"38";"empl_contr";;;"";"11";"generous";"";"half";"yes";"";"good"
"49";"3";"-5.02";"1.97";"1.97";"none";"39";"empl_contr";"2";;"yes";"12";"average";"";"";"";"";"??"
"50";"2";"3.98";"4.53";;"none";"37";"empl_contr";"2";"2";"no";"13";"generous";"yes";"none";"";"";"bad"
"51";"2";"4.46";"4.78";;"none";"40";"empl_contr";;;"yes";"10";"generous";"yes";"none";"no";"";"good"
"52";"1";"4.49";"5";;"tc";"40";"none";;"4";"no";"12";"below average";"";"";"yes";"";"good"
"53";"2";"4.02";"4.03";"5.03";"";"37";"";;"5";"no";"12";"average";"";"";"";"";"??"
"54";"2";"3.49";"4.51";"2.12";"none";"41";"";;;"maybe";"11";"below average";"yes";"none";"yes";"";"good"
"55";"2";"4.3";"2.51";;"tc";"40";"";;;"";"11";"below average";"";"";"yes";"";"bad"
"56";"3";"-4.49";"3.98";"5.07";"";"38";"";;"3";"";"12";"generous";"";"full";"";".5";"good"
"57";"1";"2.81";"36.97";"4.62";"tcf";"36";"";;"0";"no";"10";"average";"";"half";"";"half";"good"
"58";"2";"-5";"5.79";"4.59";"";"37";"self payed";;;"no";"10";"";"";"none";"";"";"good"
"59";"3";"4.52";"3.97";;"tc";"9";"";"2";;"no";"13";"below average";"yes";"half";"no";".5";"good"
"60";"2";"3.5";"7.04";"4.64";"tc";"35";"";;;"maybe";"11";"below average";"";"none";"yes";"";"??"
"61";"3";"2";"4.02";;"tcf";"41";"self payed";;;"no";"13";"average";"";"full";"yes";"";"good"
"62";"2";"5.71";"4.01";"4.97";"";"36";"";"13";;"no";"14";"generous";"";"full";"yes";"full";"good"
"63";"3";"3.53";;;"none";"40";"";"-1";;"";"11";"generous";"";"none";"";"half";"bad"
"64";"3";"4";"5.01";;"";"40";"";"13";"4";"maybe";"9";"average";"yes";"full";"";"full";"bad"
"65";"1";;"4.41";;"";"39";"self payed";;"4";"yes";"10";"generous";"";"";"";"full";"good"
"66";"3";"4.98";"4.97";"4.97";"none";;"";;;"";"12";"below average";"";"half";"no";"full";"good"
"67";"2";"-4.97";"2.54";"5.12";"tcf";"39";"empl_contr";"12";"4";"yes";"10";"average";"yes";"half";"maybe";"full";"good"
"68";"3";"3.04";"3.98";"2.32";"tcf";"39";"";;;"";"10";"average";"yes";"";"no";"";"good"
"69";"1";"-4.48";"2.49";;"";"37";"";;;"no";"9";"average";"";"half";"yes";"full";"good"
"70";"1";"3";"4.51";"4.56";"";"38";"empl_contr";"4";"2";"no";"12";"below average";"";"full";"";"half";"bad"
"71";"2";"-6.37";"5.02";;"none";"36";"";;"3";"yes";"5";"below average";"yes";"none";"";"full";"good"
"72";"1";"2.08";"2.02";;"";"36";"";;;"";"11";"average";"yes";"";"yes";"full";"good"
"73";"3";"1.99";"24.98";;"";"36";"ret_allw";"-1";"1";"";"11";"generous";"";"full";"yes";".5";"bad"
