"name"	"attr"	"type"
"Petyr Baelish"	"Lord Snow"	"first seen"
"Petyr Baelish"	"Joffrey Baratheon"	"titles"
"Petyr Baelish"	"Littlefinger"	"also known as"
"Petyr Baelish"	"Alive"	"status"
"Petyr Baelish"	"The"	"origin"
"Petyr Baelish"	"House Baelish"	"allegiance"
"Petyr Baelish"	"Lord of Harrenhal"	"predecessor"
"Petyr Baelish"	"Master of Coin"	"successor"
"Petyr Baelish"	"Braavos"	"culture"
"Petyr Baelish"	"Baelish (father of Petyr)"	"father"
"Petyr Baelish"	"Lysa Arryn"	"spouse"
"Robert Baratheon"	"You Win or You Die"	"last seen"
"Robert Baratheon"	"The"	"mentioned in"
"Robert Baratheon"	"Lord"	"titles"
"Robert Baratheon"	"Usurper"	"also known as"
"Robert Baratheon"	"Dead"	"status"
"Robert Baratheon"	"Cersei Lannister"	"death"
"Robert Baratheon"	"Storm's End"	"origin"
"Robert Baratheon"	"House"	"allegiance"
"Robert Baratheon"	"King of the Andals, the Rhoynar, and the First Men"	"predecessor"
"Robert Baratheon"	"King of the Andals, the Rhoynar, and the First Men"	"successor"
"Robert Baratheon"	"Andal"	"culture"
"Robert Baratheon"	"Faith of the Seven"	"religion"
"Robert Baratheon"	"Steffon Baratheon"	"father"
"Robert Baratheon"	"Cassana Baratheon"	"mother"
"Robert Baratheon"	"Cersei Lannister"	"spouse"
"Robert Baratheon"	"Tommen Baratheon"	"children"
"Robert Baratheon"	"Renly Baratheon"	"siblings"
"Stannis Baratheon"	"The North Remembers"	"first seen"
"Stannis Baratheon"	"Mother's Mercy"	"last seen"
"Stannis Baratheon"	"Robert Baratheon"	"titles"
"Stannis Baratheon"	"The Prince That Was Promised"	"also known as"
"Stannis Baratheon"	"Dead"	"status"
"Stannis Baratheon"	"Brienne of Tarth"	"death"
"Stannis Baratheon"	"Storm's End"	"origin"
"Stannis Baratheon"	"House Baratheon"	"allegiance"
"Stannis Baratheon"	"Master of Ships"	"successor"
"Stannis Baratheon"	"Andal"	"culture"
"Stannis Baratheon"	"Faith of the Seven"	"religion"
"Stannis Baratheon"	"Steffon Baratheon"	"father"
"Stannis Baratheon"	"Cassana Baratheon"	"mother"
"Stannis Baratheon"	"Selyse Florent"	"spouse"
"Stannis Baratheon"	"Edric Baratheon"	"children"
"Stannis Baratheon"	"Renly Baratheon"	"siblings"
"Stannis Baratheon"	"Melisandre"	"lovers"
"Tommen Baratheon"	"The"	"last seen"
"Tommen Baratheon"	"Lord"	"titles"
"Tommen Baratheon"	"Tommen of the House Baratheon the"	"also known as"
"Tommen Baratheon"	"Dead"	"status"
"Tommen Baratheon"	"Tommen Baratheon"	"age"
"Tommen Baratheon"	"Tommen Baratheon"	"date of birth"
"Tommen Baratheon"	"Red Keep"	"death"
"Tommen Baratheon"	"King's Landing"	"origin"
"Tommen Baratheon"	"Faith of the Seven"	"allegiance"
"Tommen Baratheon"	"Joffrey Baratheon"	"predecessor"
"Tommen Baratheon"	"Cersei Lannister"	"successor"
"Tommen Baratheon"	"Andal"	"culture"
"Tommen Baratheon"	"Faith of the Seven"	"religion"
"Tommen Baratheon"	"Robert Baratheon"	"father"
"Tommen Baratheon"	"Cersei Lannister"	"mother"
"Tommen Baratheon"	"Margaery Tyrell"	"spouse"
"Tommen Baratheon"	"Baratheon (son of Robert)"	"siblings"
"Brienne of Tarth"	"What is Dead May Never Die"	"first seen"
"Brienne of Tarth"	"Brienne the Beauty, The"	"also known as"
"Brienne of Tarth"	"Alive"	"status"
"Brienne of Tarth"	"Evenfall Hall"	"origin"
"Brienne of Tarth"	"Renly Baratheon"	"allegiance"
"Brienne of Tarth"	"Andal"	"culture"
"Brienne of Tarth"	"Faith of the Seven"	"religion"
"Brienne of Tarth"	"Selwyn Tarth"	"father"
"Sandor Clegane"	"The Hound, Dog"	"also known as"
"Sandor Clegane"	"Alive"	"status"
"Sandor Clegane"	"Clegane's Keep"	"origin"
"Sandor Clegane"	"Ray"	"allegiance"
"Sandor Clegane"	"Andal"	"culture"
"Sandor Clegane"	"Gregor Clegane"	"siblings"
"Gilly"	"The North Remembers"	"first seen"
"Gilly"	"Alive"	"status"
"Gilly"	"Westeros"	"origin"
"Gilly"	"Free Folk"	"culture"
"Gilly"	"Craster"	"father"
"Gilly"	"Craster"	"spouse"
"Gilly"	"Sam"	"children"
"Gilly"	"Craster's wives"	"siblings"
"Gilly"	"Samwell Tarly"	"lovers"
"Jaqen H'ghar"	"Fire and Blood"	"first seen"
"Jaqen H'ghar"	"No One"	"last seen"
"Jaqen H'ghar"	"Alive"	"status"
"Jaqen H'ghar"	"Braavos"	"origin"
"Jaqen H'ghar"	"Faceless Men"	"allegiance"
